id,holiday,workingday,humidity,windspeed,demand,temp_code,weather_code,weather,weather_code,MyUnknownColumn,MyUnknownColumn_[0],MyUnknownColumn_[1],temp,temp_feel,temp_category,temp_code,id,timestamp,season,hour,weekday_name,month_name
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
13,No,No,77,19,4.430816799,17.22-21.21-Mild,1,"Clear or partly cloudy",1,,,,17.22,21.21,Mild,17.22-21.21-Mild,13,"1/1/2017 12:00",spring,12,Sun,Jan
